"Story","Title","Result","Date","Stability","Duration (s)"
"Servicio de información por satélite","Validar correcto funcionamiento del servicio de información del satélite <satellite>","SUCCESS","2022-06-21T01:07:24.88494-05:00[America/Bogota]","0.0","6.29"
"Servicio de información por satélite","Validar funcionamiento de error de consulta del servicio de información de un satélite inexistente","FAILURE","2022-06-21T01:07:31.185614-05:00[America/Bogota]","0.0","2.52"
"Servicio de seteo de información para varios satélites","Validar correcto funcionamiento del servicio de seteo de varios satélites","SUCCESS","2022-06-21T01:07:33.712526-05:00[America/Bogota]","0.0","0.61"
"Servicio de seteo de información para varios satélites","Validar respuesta de error cuando se setea información para satélites inexistentes","SUCCESS","2022-06-21T01:07:34.332313-05:00[America/Bogota]","0.0","0.59"
"Servicio de seteo de información para varios satélites","Validar respuesta consulta mal formada para seteo de info de varios satélites","FAILURE","2022-06-21T01:07:34.931235-05:00[America/Bogota]","0.0","0.58"
"Servicio de seteo de información por satélite","Validar correcto funcionamiento del servicio de seteo del satélite <satellite>","SUCCESS","2022-06-21T01:07:35.52841-05:00[America/Bogota]","0.0","1.67"
"Servicio de seteo de información por satélite","Validar respuesta de error cuando se setea el inexistente satélite <satellite>","FAILURE","2022-06-21T01:07:37.203503-05:00[America/Bogota]","0.0","1.66"
"Servicio de seteo de información por satélite","Validar respuesta consulta mal formada para seteo de info del satélite <satellite>","SUCCESS","2022-06-21T01:07:38.868934-05:00[America/Bogota]","0.0","1.65"
